x	y (mit Rauschen)	y = x^2 (ohne Rauschen)
-5.0	25.993	25.0
-4.655	21.394	21.671
-4.31	19.874	18.579
-3.966	18.771	15.725
-3.621	12.641	13.109
-3.276	10.263	10.731
-2.931	11.749	8.591
-2.586	8.223	6.688
-2.241	4.085	5.024
-1.897	4.682	3.597
-1.552	1.481	2.408
-1.207	0.525	1.457
-0.862	1.227	0.743
-0.517	-3.559	0.268
-0.172	-3.42	0.03
0.172	-1.095	0.03
0.517	-1.758	0.268
0.862	1.372	0.743
1.207	-0.359	1.457
1.552	-0.417	2.408
1.897	6.528	3.597
2.241	4.572	5.024
2.586	6.824	6.688
2.931	5.741	8.591
3.276	9.643	10.731
3.621	13.331	13.109
3.966	13.423	15.725
4.31	19.33	18.579
4.655	20.469	21.671
5.0	24.417	25.0
